concordances	Lemma form	Annotations	
Biblioteca Nazionale di Sarajevo, Vijetnica, che < prende >  fuoco  : finiscono in cenere più di centomila 	prendere fuoco	0	
settore. Ferdinando ADORNATO, presidente, < prendendo >  atto  della richiesta del Governo e dell' 	prendere atto	1	
per un terzo: ho continuato a usarlo e a < prendere >  pesci  !! Lo comprai a 4 soldi in Venezuela 	prendere pesci	0	
tutti i momenti progettati e di cui potrete < prendere >  visione  negli allegati. PaxChristi ha contribuito 	prendere visione	1	
 di scuola; il cammino di poesia infatti < prende >  avvio  dalla stanzetta angusta (non c' erano 	prendere avvio	0	
appartengono. Oppure è accaduto a non pochi di < prendere >  posizione  su quelle guerre, parteggiando 	prendere posizione	1	
aziende verso una responsabilità sociale e a < prendere >  posizione  contro la guerra - Protestare 	prendere posizione	1	
indici di bilancio. La delegazione sindacale, < preso >  atto  della positività della situazione  	prendere atto	1	
 che il grafologo deve porre in atto per < prendere >  dimestichezza  con il mercato del lavoro 	prendere dimestichezza	0	
intorno al quale l' associazione nazionale ha < preso >  forma  e vita, ovvero l' EUBIOSIA.In quanto 	prendere forma	1	
 articolo 9 del disegno di legge n. 371. < Prende >  atto  il relatore CENTARO, che si riserva 	prendere atto	0	
addirittura i video distribuiti. Poi hanno < preso >  parola  alcuni ruspanti ragazzi che stimo 	prendere parola	1	
diocesani istituiti dai Vescovi perché si < prendano >  cura  di tutto quanto riguarda l ´ arte  	prendere cura	1	
Trieste per lavorare come impiegato di banca. < Prende >  alloggio  presso la famiglia Lanucci e così 	prendere alloggio	0	
raccomandare marche particolari, né possiamo < prendere >  posizione  su questioni quali l' annosa  	prendere posizione	1	
il sistema delle leggi vigenti. Ma chi ha < preso >  confidenza  col browser, chi è abituato  	prendere confidenza	1	
premier israeliano Barak: " Arafat temeva di < prendere >  decisioni  storiche richieste per porre  	prendere decisioni	1	
 Jr., Sun Ra Arkestra, e tanti altri. Ha < preso >  parte  con un ruolo da protagonista all' 	prendere parte	1	
notte) ciao marino BISMARK Ehi, gracco hai < preso >  paura  della neve? o ti si sono congelate 	prendere paura	1	
Consiglio regionale, l' Avvocatura dichiara di < prendere >  atto  di quanto stabilito dalla sentenza 	prendere atto	1	
fin dal primo giorno. Anche se non possono < prendere >  servizio  . Il diritto al completamento  	prendere servizio	0	
sua stessa età. Nel frattempo, Van si sta < prendendo >  cura  delle ferite di Merle. Van scopre  	prendere cura	1	
demaniale), ma l' uomo non ha mai smesso di < prendersi >  cura  del giardino. A forza di potare rose 	prendere cura	1	
respirare a pieni polmoni mentre la bici < prendeva >  velocità  : sentivo la staticità del tempo 	prendere velocità	0	
chiediamo un provvedimento di prevenzione, che < prenda >  atto  della realta' e fissi limiti di tempo 	prendere atto	1	
1.1.2004 come ORDINATO dal TAR. Ho comunque < preso >  servizio  ... e poi ho 60 gg di tempo per 	prendere servizio	1	
Prego i colleghi che non abbiano votato di < prendere >  posto  . Non si vota per conto terzi! Dichiaro 	prendere posto	0	
finanziaria da discutere tra qualche mese. < Prendo >  atto  che Frattini ha dichiarato ieri in 	prendere atto	1	
nuovi rispetto ai rapporti tra fratelli. < Prendiamo >  spunto  da un volume di racconti di Lidia 	prendere spunto	1	
altro che camminare nel posto sbagliato) e < prendere >  denaro  da poveri contadini indiani per  	prendere denaro	0	
giurisprudenza della Corte Costituzionale, hanno < preso >  atto  dei radicali cambiamenti intervenuti 	prendere atto	1	
Radio Mediterraneo Trasmissioni, abbiamo < preso >  parte  ad alcune trasmissioni dove si discuteva 	prendere parte	1	
preparata dal Presidium. Personalmente ho < preso >  parte  al primo gruppo di lavoro contribuendo 	prendere parte	1	
 cittadino. Al torneo polisportivo hanno < preso >  parte  oltre 200 ragazzi dai 14 ai 50 anni 	prendere parte	1	
 coloro che erano sedentarizzati; avendo < preso >  atto  delle conclusioni del Colloquio organizzato 	prendere atto	1	
ultimo caso i soggetti incaricati dovranno < prendere >  visione  del presente manuale e della documentazione 	prendere visione	1	
corrispondente all' offerta presentata; dichiara di < prendere >  atto  che le indicazioni delle voci e quantità 	prendere atto	1	
Nel caso si rifiutasse saremmo costretti a < prendere >  provvedimenti  . " Come regalo di natale 	prendere provvedimenti	0	
presso la Provincia Regionale di Palermo, < prende >  atto  con profondo stupore, sconcerto e  	prendere atto	1	
 episodio, bensì tre cariatidi che hanno < preso >  vita  e vanno in giro per Praga con intenzioni 	prendere vita	1	
operazione è durata circa cinque ore e vi hanno < preso >  parte  una ventina tra chirurghi vascolari 	prendere parte	1	
Stati Membri. Al riguardo, le parti sociali < prendono >  nota  della Dichiarazione sull' occupazione 	prendere nota	1	
prodotto. A detto prelievo in contraddittorio < prendera' >  parte  personale dell' AGEA o dalla medesima 	prendere parte	1	
colpevole di fronte alla creatura uccisa; deve < prendere >  atto  di questa circostanza, non ci si puó 	prendere atto	1	
Incendi Un monolocale nel centro di Livorno ha < preso >  fuoco  per un corto circuito. I pompieri 	prendere fuoco	0	
». [* 20] In marg. Per errore dissi aver < preso >  possesso  giorni sono. Allora fu Damiani 	prendere possesso	0	
 trasporto. Invita pertanto il Governo a < prendere >  atto  della necessità di una formulazione 	prendere atto	1	
richiesta da parte della scuola. Quando ho < preso >  servizio  , mi hanno chiesto di dichiarare 	prendere servizio	1	
avanti, felici di rendersi disponibili a < prendersi >  cura  del proprio nipotino. Una soluzione 	prendere cura	1	
tecnica allegata al medesimo; 2) di aver < preso >  visione  dello Statuto Sociale della S.A.T.A.P. 	prendere visione	1	
punta. Ignorate gli altri attorno a voi e, < preso >  coraggio  , cominciate a muovervi lentamente 	prendere coraggio	0	
poterne perÚ ottenere una copia. Dopo avere < preso >  conoscenza  della segnalazione, l' interessato 	prendere conoscenza	0	
12,30 anziché alle ore 13,30. La Commissione < prende >  atto  . La seduta termina alle ore 16,20 	prendere atto	0	
nome che celava la legittima aspirazione di < prender >  posto  , un giorno, fra i Beati. E fin qui 	prendere posto	0	
Intanto è opportuno che tutti i vinificatori < prendano >  coscienza  di quel che rappresentiamo. Non 	prendere coscienza	1	
 zucca e i sandwich. Servitevi mentre mi < prendo >  cura  della piccola. " Remus non poté resistere 	prendere cura	1	
acquisite agli atti di questo processo. Il teste < preso >  atto  dichiara che la grafia apposta in  	prendere atto	1	
cielo, ma nessuno l' ha più rivista dopo che < prese >  casa  . Ogni sedici giorni qualche novità 	prendere casa	0	
risposta. Quello economico è molto pragmatico e < prende >  atto  delle pratiche dei vari patent-office 	prendere atto	1	
come quelle delle fotografie? Come faccio a < prendermi >  cura  della mia pianta malata? Perche' le 	prendere cura	1	
cosiddetti " ritiri " per le 18 squadre che < prenderanno >  parte  al campionato della massima serie 	prendere parte	1	
 tenuta a consentire alla richiedente di < prendere >  visione  del documento richiesto laddove 	prendere visione	0	
preparare l' esame debbono preventivamente < prendere >  contatto  con il docente, con il quale concorderanno 	prendere contatto	1	
teoria alla pratica e potranno scoprire, < prendendovi >  parte  in prima persona, alcuni dei meravigliosi 	prendere parte	1	
aspetta una forte motivazione mondiale per < prendere >  provvedimenti  in favore dell' ambiente. 	prendere provvedimenti	0	
Hanno votato sì 169 Hanno votato no 237). < Prendo >  atto  che l' onorevole Potenza non è riuscito 	prendere atto	1	
reato di maltrattamento. " Ai comuni che non < prendono >  posizione  e stanno semplicemente a guardare 	prendere posizione	1	
carbonizzato nell' abitacolo del suo Tir che ha < preso >  fuoco  dopo che la motrice e' rimasta incastrata 	prendere fuoco	0	
pomeriggio si e' tenuta una riunione a cui hanno < preso >  parte  i responsabili dell' Asl 3, ARPAL 	prendere parte	1	
quotidiana, lo stesso CGIE dovrà, tuttavia, < prendere >  posizione  . Ma che c' entra in tutto questo 	prendere posizione	1	
indicazione della sede in cui chiunque puo' < prendere >  visione  degli elaborati e provvede all' 	prendere visione	1	
 devoti sono venuti da altre nazioni per < prendervi >  parte  . Inoltre, nel 1996 c' è stato il 	prendere parte	1	
abilitati. Con riferimento all' articolo 3, < prende >  atto  della scelta del Governo di ripristinare 	prendere atto	1	
dei " vincoli " piuttosto dei punti su cui < prendere >  decisioni  : il tempo disponibile, la struttura 	prendere decisioni	1	
sola. C' è una brava ragazza polacca che si < prende >  cura  di me ". " E dov' è adesso? " " Anche 	prendere cura	1	
 il monopolio della formazione formale e < prendere >  corpo  un sistema pluralistico di offerte 	prendere corpo	1	
 di Iniziativa Proletaria Rivoluzionaria < prende >  posizione  rispetto all' obiettivo strategico 	prendere posizione	0	
numero delle vittime. Il Governo indiano < prendeva >  misure  di lotta contro l' epidemia. L'  	prendere misure	0	
allievi e si concluderà con uno stage al quale < prenderanno >  parte  , in qualità di allievi attori, tutti 	prendere parte	1	
 formò le maestre e con amore materno si < prese >  cura  delle giovani. A Venezia la santa  	prendere cura	1	
internazionale ". I capi di governo hanno < preso >  atto  delle decisioni che i ministri degli 	prendere atto	1	
NORME FINALI DI PARTE ECONOMICA 1. Le parti < prendono >  atto  che nell' ambito delle disponibilità 	prendere atto	1	
seduta il seguito dell' esame. La Commissione < prende >  atto  . La seduta termina alle 14.55. SEDE 	prendere atto	1	
in epigrafe). Successivamente, la C.E.I., < preso >  atto  del ricorso proposto, ha espresso  	prendere atto	1	
rimedio alla situazione venutasi a creare; < Preso >  atto  dell' inerzia del Prefetto di Torino 	prendere atto	1	
narrativa, qui integralmente richiamate: 1) di < prendere >  atto  che l' area oggetto della variante 	prendere atto	1	
ha risposto di no, che non si possono più < prendere >  appuntamenti  e che si deve arrivare e fare 	prendere appuntamenti	0	
discutere dei vari mod disponibili e magari per < prendere >  accordi  sul quale utilizzare on-line! Andrea 	prendere accordi	0	
preceda l? effetto, svaniva in quanto si < prese >  coscienza  del fatto che era del tutto errata 	prendere coscienza	1	
 cattive intenzioni di Humbert, cerca di < prendere >  tempo  , di distrarlo strimpellando al pianoforte 	prendere tempo	1	
zaino fuori dalla nicchia a continuare a < prendere >  acqua  . Stretti, con le spalle ed il collo 	prendere acqua	0	
otteneva di essere richiamato in Patria per < prendere >  parte  attiva al conflitto. Al fronte occidentale 	prendere parte	1	
Centro rivolto agli adulti e ai bambini, si < prende >  cura  in modo particolare di questi ultimi 	prendere cura	1	
mentali stereotipate dello spettatore che deve < prendere >  atto  di essere stato affetto fino ad allora 	prendere atto	1	
socievole ", che porta ad avvicinarsi ed a < prendersi >  cura  degli altri. Inoltre i suoi effetti 	prendere cura	1	
 nel corso di operazioni congiunte a cui < prendono >  parte  anche Polizia, Carabinieri, Guardia 	prendere parte	1	
ottobre, il Centro Internazionale Crocevia < prenderà >  parte  all' incontro tra la FAO ed i rappresentanti 	prendere parte	1	
fsyukteswarji@yahoo.com Io dimoro nell' origine. L' origine si < prende >  cura  di me. Mi servo saggiamente, e dono 	prendere cura	1	
 di voto; aspiranti, coloro che avendo " < preso >  rifugio  " partecipano alle attività del 	prendere rifugio	0	
una duratura classificazione da cui hanno < preso >  corpo  gli oroscopi ai quali è bene che  	prendere corpo	1	
animale razionale. Che esso sia chiamato a < prendersi >  cura  , a migliorare, a trasformare l' habitat 	prendere cura	1	
lo spazio libero lasciato al discente che < prende >  coscienza  delle difficoltà e dei cambiamenti 	prendere coscienza	1	
tempo brevissimo. Appunto per questo, furono < presi >  accordi  con i Comandanti austriaci affinché 	prendere accordi	0	
 vedo sempre ... a casa! si è offerta di < prendermi >  appuntamento  per il bi-test che poi ha  	prendere appuntamento	0	
www.provincia.potenza.it I cittadini cominciano a < prendere >  confidenza  con il poliziotto di quartiere 	prendere confidenza	1	
accordo del loro potere e della loro forza per < prendere >  iniziative  , per mobilitarsi senza vincoli 	prendere iniziative	0	
Abruzzo (DOC) Il vino Montepulciano d' Abruzzo < prende >  nome  dal vitigno omonimo a bacca nera che 	prendere nome	1	
stabilire i « criteri di giudizio » prima di < prendere >  visione  della documentazione prodotta dai 	prendere visione	1	
ostentato fastidio. E stato un errore politico. < Prendo >  atto  , invece, che da parte di An sono  	prendere atto	1	
giustificato su basi neutrali il suo potere di < prendere >  decisioni  sulla base di ragioni neutrali 	prendere decisioni	1	
... ». Conclusione: « Non sembra opportuno < prendere >  decisioni  affrettate nell' attuale contesto 	prendere decisioni	1	
dall' altro, sono i due riferimenti di cui < prendere >  atto  con realismo nel progetto di rilancio 	prendere atto	1	
, quasi tutte le critiche di Lichtenberg < prendono >  spunto  dall' osservazione di piccoli dettagli 	prendere spunto	1	
di ricevimento, avvertendoli che possono < prenderne >  visione  ed estrarne copia entro i successivi 	prendere visione	1	
si è lasciato sfuggire l' occasione: " Ho < preso >  contatto  con i ragazzi bolognesi - racconta 	prendere contatto	1	
 (Controllo partecipativo) Chiunque puo' < prendere >  visione  , presso gli uffici comunali, dei 	prendere visione	1	
che sarebbe vero ciò che ripetono. Da qui < prende >  consistenza  il motivo di cui dianzi ci  	prendere consistenza	0	
 o sentito parlare (Lo schema £ 3). Puoi < prendere >  parte  a questo schema. Noi abbiamo risposto 	prendere parte	1	
imprese del made in Italy. La missione, a cui < prenderanno >  parte  i vertici di Confindustria, Ice,  	prendere parte	1	
Commissione non sono ancora disponibili, deve < prendere >  atto  della necessità di un ulteriore rinvio 	prendere atto	1	
assicurare tra " il diritto di ciascuno di < prendere >  parte  liberamente alla vita culturale della 	prendere parte	1	
agli occhi neri di una fanciulla che va a < prendere >  acqua  alla fonte. Galatro, che pure ha  	prendere acqua	0	
essenzialmente da browser " automatico ", in grado di < prendere >  iniziative  su quali server visitare, e  	prendere iniziative	0	
Hanno votato sì 24 Hanno votato no 219). < Prendo >  atto  che gli onorevoli Volontè e Ranieli 	prendere atto	1	
degli amministratori locali, che debbono < prendere >  coscienza  e valutare quali siano le soluzioni 	prendere coscienza	1	
invernali) Nelle lunghe serate d' inverno ... < prendiamo >  carta  e matita e buttiamo giù il progetto 	prendere carta	0	3
di assalto a due volanti. A questo punto, < preso >  atto  dell' informazione, indica al dottor 	prendere atto	1	
definitivi da approvare e convenzionare, < prendendo >  atto  che eventuali richieste di proroghe 	prendere atto	1	
pubbliche; in questi stessi giorni stanno < prendendo >  avvio  altre opere importanti quali il piano 	prendere avvio	0	
oscuro quindi io sarei ben felice di avere < preso >  strade  differenti poi parla di PanettA, 	prendere strade	0	3
ricevuto la lettera precetto ma prima di < prendere >  servizio  , dovrà presentarsi all' Ente  	prendere servizio	1	
, latenze, derive, calibrate grammature. < Prende >  corpo  e nervatura un nuovo organismo,  	prendere corpo	1	
bagno, aria condizionata, Tv satellitare, < presa >  modem  , frigobar, cassetta di sicurezza 	prendere modem	0	not a verb
si conclude il 18 dicembre 1999. D' Alema < prende >  atto  della rottura con Cossiga. Riserve 	prendere atto	1	
complesso e anche per una sorta di paura a < prendere >  posizione  . Il rimanente 5 - 10 % è su  	prendere posizione	1	
 E pure la scelta degli uomini che hanno < preso >  parte  all' azione desta qualche perplessità 	prendere parte	1	
Hanno votato sì 239 Hanno votato no 120). < Prendo >  atto  che l' onorevole Giordano non è riuscito 	prendere atto	1	
Licata residente a Samarate, 26 anni, avevano < preso >  casa  in via Mottarone, ma era solo una  	prendere casa	0	
accendini e qualsiasi oggetto per fumatori; < prendete >  nota  delle vostre abitudini riguardo al 	prendere nota	1	
 domani. Pag. 18 Giacomo GARRA (FI), nel < prendere >  atto  della precisazione del presidente, 	prendere atto	1	
europea per l' uso del computer Si prega di < prendere >  visione  dei documenti richiamati dalle  	prendere visione	1	
plauso di maniera, è problema loro. Intanto < prendiamo >  atto  che si è voltato pagina, e che per 	prendere atto	1	
insostituibile azione di prevenzione sociale; < preso >  atto  che sino all' anno 1997 il Progetto 	prendere atto	1	
dei percorsi formativi già ricordati, si è < preso >  atto  del fatto che l' università deve preparare 	prendere atto	1	
tratta, del quale la Giunta ha avuto modo di < prendere >  visione  integrale, è apparso sul quotidiano 	prendere visione	1	
tradizione che dura fin dall' anno 1700. < Prendono >  parte  alla manifestazione, oltre all' omonima 	prendere parte	1	
esponenti del governo libico, con lo scopo di < prendere >  contatti  con imprenditori veneti. La Libia 	prendere contatti	0	
ulteriore passo indietro. La senatrice MANIERI < prende >  atto  con rammarico della grande incertezza 	prendere atto	1	
dispositivo istituzionale; un' Unione atta a < prendere >  decisioni  e ad affermare posizioni, il  	prendere decisioni	1	
conversazione in gran parte improvvisata che < prenderà >  spunto  da fatti d' attualità. L' impegno 	prendere spunto	1	
del colle ", cioè nel Castello. - Nel 1935 < prende >  avvio  l' opera di restauro degli edifici 	prendere avvio	0	
Hanno votato sì 189 Hanno votato no 199). < Prendo >  atto  che l' onorevole Mongiello non è riuscito 	prendere atto	1	
). Passiamo all' emendamento Folena 4.7. < Prendo >  atto  che i presentatori non accedono all' 	prendere atto	1	
infrastrutture e dei trasporti. Va bene. PRESIDENTE. < Prendo >  atto  che l' onorevole Cirielli non insiste 	prendere atto	1	
non certo come un governo legittimo che si < prende >  cura  del suo popolo e lo aiuta. E' questo 	prendere cura	1	
ques ta mattina, esaminata la richiesta e < preso >  atto  della dichiarazione in ordine all' 	prendere atto	1	
questioni relative alla tutela, che doveva < prendere >  servizio  dopo che Pomponio scrisse le Pandectae 	prendere servizio	1	
essere richiamato in servizio: in tal caso < prende >  posto  nel ruolo con l' anzianità che aveva 	prendere posto	0	
il ciclismo ... l' apertura alle private, < prendendo >  esempio  da La 7 che ha provato col mondiale 	prendere esempio	0	
diavolo colui, contro il quale non potrò < prendere >  provvedimenti  e che si compiace dei disordini 	prendere provvedimenti	0	
 sotto Valenza; ma da quelle parti aveva < preso >  posizione  con il suo esercito il generale 	prendere posizione	1	
TOMMASO FOTI, Relatore. Signor Presidente, < prendo >  atto  della « dichiarazione di guerra »  	prendere atto	1	
fotografa lo stato della coppia nel 2004, < prendendo >  spunto  dal suo nuovo film, " Se devo essere 	prendere spunto	1	
Orchestra Sinfonica di Bialystok. Nel 2001 ha < preso >  parte  al nono concerto " Natale in Vaticano 	prendere parte	1	
giovanile carica di incertezze, incapace di < prendere >  decisioni  definitive, stracolma di informazioni 	prendere decisioni	1	
. E all' inevitabile scontro che in essa < prenderà >  corpo  ci dobbiamo fin d' ora preparare. 	prendere corpo	1	
e limiti in cui gli Stati membri possono < prendere >  misure  cautelative. 2. Qualora si delinei 	prendere misure	0	
 una sollecitazione agli enti chiamati a < prendere >  coscienza  del problema: la Regione Veneto 	prendere coscienza	1	
del lavoro del  900 Questa settimana ha < preso >  avvio  il primo modulo del corso " Lavoro 	prendere avvio	0	
questo documento Nella politica italiana sta < prendendo >  corpo  un' inedita metamorfosi strategico-culturale 	prendere corpo	1	
della risposta del Governo. Se, infatti, < prende >  atto  con favore della disposizione del  	prendere atto	1	
prosegue il direttore sportivo Perinetti - < prendiamo >  atto  del rinvio, volendo credere che un 	prendere atto	1	
dietro le quinte, guardava ironicamente, si < prendeva >  gioco  dello spettacolo che aveva inscenato 	prendere gioco	1	
Londra. Una donna bianca, di circa 50 anni, < prende >  posto  in classe economica di fianco a un 	prendere posto	1	
demordere, perché nel momento in cui avrebbe < preso >  confidenza  , sarebbe arrivato il giorno 	prendere confidenza	1	
cristiani nei movimenti sociali. Si deve < prendere >  esempio  dal Forum sociale mondiale, hanno 	prendere esempio	1	
 (cfr. Allegato 34). In essa l' A. M non < prendeva >  posizione  per nessuna delle possibili ipotesi 	prendere posizione	1	
favore della padella). Lo svolgimento ha < preso >  avvio  poco meno di tre anni fa dalle inchieste 	prendere avvio	1	
). Pietro FOLENA (DS-U), replicando, pur < prendendo >  atto  della tempestività con cui il Governo 	prendere atto	1	
 è continuata, in parallelo alla normale < presa >  dati  , l' acquisizione dei muoni cosmici 	prendere dati	0	not a verb
veniva rinviata al 13 gennaio 2004 al fine di < prendere >  atto  della stessa o di valutarne comunque 	prendere atto	1	
tra i fogli e le scrivanie di qualcuno che < prende >  soldi  sulle disgrazie di troppi ... ma  	prendere soldi	0	
Nazionale Universitario (CNU). La Commissione < prende >  atto  . La seduta termina alle 11.10. INTERROGAZIONI 	prendere atto	1	
 di 150 galloni di benzina, ma decisi di < prendere >  terra  : picchiai troppo forte tradito nei 	prendere terra	0	
aggiungere i scalogni tritati. Quando il composto < prenderà >  colore  aggiungere la farina, il vino, la 	prendere colore	0	
occupazione e gli ammortizzatori sociali, < preso >  atto  dei rilievi mossi dalle Commissioni 	prendere atto	1	
attività sviluppata in presenza, la comunità < prende >  corpo  , veicolando e aggregando le informazioni 	prendere corpo	1	
 impegno era di rivedersi al più presto. < Prendo >  atto  che nella prossima settimana ci sarà 	prendere atto	1	
cooperazione economica internazionale. Vi < prenderanno >  parte  delegazioni francesi e spagnole.  	prendere parte	1	
 presidenza. Anche gli altri artisti che < prendono >  parte  a questo tour sono più o meno impegnati 	prendere parte	1	
 politiche (che si dichiarano pro-labor) < prendano >  iniziative  e decisioni su questioni che 	prendere iniziative	0	
sottile e bassa aleggiava tutta intorno, Mae < prese >  coraggio  e spronò Rutan, questo, sentendo 	prendere coraggio	1	
Conferenza Transnazionale, alla quale hanno < preso >  parte  i rappresentanti dei Paesi Partner 	prendere parte	1	
oggi ignoriamo. Nel medesimo articolo, che < prendeva >  spunto  dal tema " clonazione " per cercare 	prendere spunto	1	
 di " Dottore Magistrale ". Il Consiglio < prende >  atto  . Il Presidente comunica che, in tarda 	prendere atto	1	
 copertura. Gaspare GIUDICE; presidente, < preso >  atto  dei chiarimenti forniti dal rappresentante 	prendere atto	1	
comprensibile, con le pause e il tempo per < prendere >  fiato  tra le parole dettato dalla punteggiatura 	prendere fiato	0	
considerando che il Consiglio europeo di Cannes ha < preso >  atto  dell' importanza dei lavori effettuati 	prendere atto	1	
rivolte ad alcuni ufficiali che sembra abbiano < preso >  parte  alla sua scomparsa non siano mai  	prendere parte	1	
allievo può fare da solo le sue scoperte. < Preso >  atto  che tutto quello che l' uomo ha appreso 	prendere atto	1	
lontano ricordo, ed e' dunque importante < prendere >  nota  degli errori di Francia e Gran Bretagna 	prendere nota	1	
in un momento successivo. La Commissione < prende >  atto  . In considerazione della avvenuta 	prendere atto	1	
Gansu. E' negli anni'80 che la sua carriera < prende >  vigore  , grazie al patrocinio di uno dei 	prendere vigore	0	
con una breve cerimonia alla quale hanno < preso >  parte  insegnati e dirigenti scolastici. 	prendere parte	1	
sperimentato in ben 70 Atenei. All' evento < prenderanno >  parte  , tra gli altri, Roberto Schmid,  	prendere parte	1	
Consiglio, con l' astensione del cons. POZZI, < prende >  atto  dell' incarico assunto dal Consigliere 	prendere atto	1	
quello che le pare, senza che nessuno possa < prendere >  provvedimenti  sul suo modo di agire. Ho 	prendere provvedimenti	0	
porti infestati da zanzare, dovranno essere < prese >  disposizioni  per la protezione degli alloggi 	prendere disposizioni	0	
 una pellicola italiana. Numerosi mostri < prendono >  corpo  attraverso il cosiddetto cinema espressionista 	prendere corpo	1	
Il maestro Atisha ha detto che perche' si < prenda >  rifugio  in modo corretto questo deve significare 	prendere rifugio	0	
pafra 7883 il Giovedì 06 Marzo 2003, 00:16. < Prendo >  atto  che per te il contenuto della dichiarazione 	prendere atto	1	
miserevole, insomma ciò che fa la vita umana, < prende >  corpo  come merce. Ed i problemi generati 	prendere corpo	1	
questa sera alle ore 21,30. La Commissione < prende >  atto  . La seduta termina alle ore 16,30 	prendere atto	1	
per giustificato motivo, sono impediti a < prendere >  parte  alle sedute devono darne tempestiva 	prendere parte	1	
regime di quel genere non avrebbe mai potuto < prendere >  piede  in un paese che avesse sperimentato 	prendere piede	1	
figure a fumetti. Daisy, ovvero Paperina, < prese >  corpo  proprio sui tratti caratteriali della 	prendere corpo	1	
 Peter Nowill che lo scorso agosto hanno < preso >  parte  alle Olimpiadi di Atene. Questa la 	prendere parte	1	
appartamenti situati allo stesso indirizzo. < Preso >  atto  di un errore nella trasposizione informatica 	prendere atto	1	
Renzo INNOCENTI, presidente, afferma che, < preso >  atto  della posizione del Governo, è necessario 	prendere atto	1	
piede rotto è riuscito a fermarlo. Ma ha < preso >  gusto  del palcoscenico europeo. Stanco  	prendere gusto	0	
 sistema giudiziario, così da riuscire a < prendere >  tempo  e magari scampare l' espulsione,  	prendere tempo	1	
le fiamme A fuoco una baita Una baita ha < preso >  fuoco  questa mattina alle 8.45 a Bianca 	prendere fuoco	0	
Dal 1999 la giurisprudenza di legittimità < prendendo >  spunto  dalle novità normative in tema di 	prendere spunto	1	
affrontare nel caso in cui queste colture < prendessero >  piede  in Europa su larga scala. Lo studio 	prendere piede	1	
comunità, cioè le varie associazioni, che non < prendono >  parte  alla vita governativa. - Il Mercato 	prendere parte	1	
 di tali standard. Il ministro ha dovuto < prendere >  atto  , quindi, di questa impossibilità  	prendere atto	1	
odori cambiano: una vitalità più autentica < prende >  forma  tutt ' intorno, tra i canali e gli 	prendere forma	1	
paesi dell' Europa del Sud-Est, affinche' < prenda >  parte  attiva al Tavolo Regionale dell'  	prendere parte	1	
quanto detto sopra, si dovrebbe anzitutto < prendere >  coscienza  del fatto che tutte le modifiche 	prendere coscienza	1	
urne; bisogna fare in modo che anche loro < prendano >  parte  alla costruzione delle istituzioni 	prendere parte	1	
rivelato il suo volere parola per parola e ha < preso >  contatto  con gli uomini attraverso i profeti 	prendere contatto	1	
elettrodomestici, mobili e oggetti di uso quotidiano < prendono >  fuoco  , ha deciso di rivolgersi a un esorcista 	prendere fuoco	0	
 Texas; poiché da qui il film comincia a < prendere >  forma  , nello stesso punto in cui si chiuderà 	prendere forma	1	
 nella sfera emotiva e dei sentimenti; - < prendere >  coscienza  del proprio patrimonio culturale 	prendere coscienza	1	
rovesciato addosso il lumino e gli abiti hanno < preso >  fuoco  assieme a un mobile dell' appartamento 	prendere fuoco	0	
benissimo l' isola ... meglio di molti sardi! Si < prenderà >  cura  di tutti i dettagli del viaggio e  	prendere cura	1	
qualità della vita 34. Il Consiglio europeo ha < preso >  atto  con soddisfazione dell' adozione,  	prendere atto	1	
i mulini a vento, per di più gratis, non < prendiamo >  soldi  da nessuno ...) e sentirsi dare dei 	prendere soldi	0	
 nicaraguesi. Le denunce della comunita' < presero >  forma  di piena azione legale nel 1995,  	prendere forma	1	
pensare. Io tornai a Roma in fretta e furia, e < presi >  parte  alle esequie del Papa. Così si arrivò 	prendere parte	1	
del proprio sviluppo, non ha mai realmente < preso >  corpo  nelle dinamiche dell' ordinamento 	prendere corpo	1	
Vescovo è piuttosto pastore, è colui che si < prende >  cura  di un gregge. La liturgia tuttavia 	prendere cura	1	
fino al 1974, dopo un salto di un anno per < prendere >  parte  a La cucina di A. Wesker diretto  	prendere parte	1	
uscita. Un anno fa, prima che il destino si < prendesse >  gioco  di te e che ti desse questi strani 	prendere gioco	1	
Società italiana autori ed editori (SIAE). < Prende >  atto  la Commissione. La seduta termina  	prendere atto	1	
corrispondente all' offerta presentata; Dichiara di < prendere >  atto  che le indicazioni delle voci e delle 	prendere atto	1	
Innocenzo X sembra aver esclamato dopo aver < preso >  visione  dell' opera: " troppo vero! ",  	prendere visione	1	
redattori e corrispondenti di " Migra " hanno < preso >  parte  , in collaborazione con l' Oim (Organizzazione 	prendere parte	1	
 sul palco, e vortici e spirali di gente < prendono >  vita  con la prima nota di " The Man who 	prendere vita	1	
realizzazione degli interventi. Il Comitato < prende >  atto  della nota della D.G. XVI n. 99430772 	prendere atto	1	
serie C, o scartati dalle grandi squadre ( < prendere >  esempio  dal Messina e / o altre squadre 	prendere esempio	1	
Mercoledì 03 Novembre 2004, 11:41 ok mik, < prendo >  atto  della dichiarazione del consigliere 	prendere atto	1	
 una valutazione di tale natura dovrebbe < prendersi >  atto  , secondo il giudice a quo, che gli 	prendere atto	1	
al capitano Di Natale citato nel verbale, < prese >  parte  alle operazioni di riduzione anche 	prendere parte	1	
 banchieri e intellettuali - Una civiltà < prende >  corpo  - Così in terra come in cielo - Epilogo 	prendere corpo	1	
politico. Nella destra radicale aveva intanto < preso >  piede  una nuova idea dell' azione, che  	prendere piede	1	
